,name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
125,Simple Things,The Lockdown Sessions,2021-10-22,10,7IIM5wzOr8EQ3I14xHyziq,spotify:track:7IIM5wzOr8EQ3I14xHyziq,0.263,0.506,0.795,7.68e-05,0.142,-4.628,0.0299,88.057,0.277,23,251585
126,Beauty In The Bones,The Lockdown Sessions,2021-10-22,11,0CDhvdHrIM5Bglygymhm7u,spotify:track:0CDhvdHrIM5Bglygymhm7u,0.00868,0.582,0.821,6.36e-06,0.0846,-4.417,0.0843,155.003,0.16,26,230870
127,One Of Me,The Lockdown Sessions,2021-10-22,12,6bnotyXBxpLACzWfJvbIQp,spotify:track:6bnotyXBxpLACzWfJvbIQp,0.202,0.708,0.598,0.0,0.169,-4.969,0.0617,144.096,0.561,0,161666
128,E-Ticket,The Lockdown Sessions,2021-10-22,13,5O4OhDjKIoYb6qvFwjuwfG,spotify:track:5O4OhDjKIoYb6qvFwjuwfG,0.00054,0.384,0.946,0.0,0.147,-2.149,0.0654,138.167,0.279,21,198817
129,Finish Line,The Lockdown Sessions,2021-10-22,14,70TFwuLyduUQYij2aCmIsx,spotify:track:70TFwuLyduUQYij2aCmIsx,0.0756,0.48,0.803,0.0,0.195,-3.415,0.0485,171.79,0.539,48,264846
130,Stolen Car,The Lockdown Sessions,2021-10-22,15,7oZ9ZOd0baM352GNmcTr13,spotify:track:7oZ9ZOd0baM352GNmcTr13,0.00691,0.516,0.762,0.000178,0.241,-4.306,0.0319,139.834,0.226,23,337753
131,I'm Not Gonna Miss You,The Lockdown Sessions,2021-10-22,16,3tPYlTUFTkGTRKYgPn1vei,spotify:track:3tPYlTUFTkGTRKYgPn1vei,0.0638,0.35,0.462,0.000453,0.238,-6.433,0.0273,60.016,0.111,28,176554
132,Hold Me Closer,The Lockdown Sessions,2021-10-22,1,6b0bCGbA6zXBSt4ix2V2MJ,spotify:track:6b0bCGbA6zXBSt4ix2V2MJ,0.0924,0.663,0.78,0.000149,0.186,-4.603,0.144,125.997,0.481,34,202245
133,Cold Heart - PNAU Remix,The Lockdown Sessions,2021-10-22,2,1s29xDWeu1cbTlsc86Ajbo,spotify:track:1s29xDWeu1cbTlsc86Ajbo,0.043,0.805,0.814,2.54e-05,0.0913,-6.276,0.0323,116.035,0.924,8,202735
134,Always Love You,The Lockdown Sessions,2021-10-22,3,3UKVGUcqco0iPyTw1YfNZt,spotify:track:3UKVGUcqco0iPyTw1YfNZt,0.257,0.68,0.661,2.67e-06,0.108,-4.824,0.0446,122.967,0.271,7,257237
135,Learn To Fly,The Lockdown Sessions,2021-10-22,4,1lBDoFeBOMPe1hZTpgRkYY,spotify:track:1lBDoFeBOMPe1hZTpgRkYY,0.542,0.553,0.533,0.0,0.0661,-6.168,0.105,173.824,0.62,16,211213
136,After All,The Lockdown Sessions,2021-10-22,5,78q1C2LhzKsJSbpMd7VvqI,spotify:track:78q1C2LhzKsJSbpMd7VvqI,0.311,0.506,0.537,0.000162,0.114,-5.589,0.0267,82.029,0.145,4,208714
137,Chosen Family,The Lockdown Sessions,2021-10-22,6,5vox0gFUvMjqSntKnDPvZJ,spotify:track:5vox0gFUvMjqSntKnDPvZJ,0.48,0.503,0.573,0.0,0.0717,-6.926,0.0459,73.005,0.266,4,280381
