,name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
24,Punchline - Live from Holly’s Living Room,Autumn Variations (Fan Living Room Sessions),2023-10-02,11,6XyGcm4JJq1KL6CWGk4joO,spotify:track:6XyGcm4JJq1KL6CWGk4joO,0.836,0.639,0.407,0.0,0.0876,-5.581,0.0306,84.575,0.414,44,186662
25,When Will I Be Alright - Live from Kristen’s Living Room,Autumn Variations (Fan Living Room Sessions),2023-10-02,12,6r8VpUHx6dI2ZtZrVTZ7Vt,spotify:track:6r8VpUHx6dI2ZtZrVTZ7Vt,0.943,0.584,0.215,0.0,0.0962,-8.765,0.0335,132.456,0.362,44,166769
26,The Day I Was Born - Live from Danielle’s Living Room,Autumn Variations (Fan Living Room Sessions),2023-10-02,13,2eByhz5FCBvW0BoLl1I1vr,spotify:track:2eByhz5FCBvW0BoLl1I1vr,0.777,0.674,0.472,0.0,0.217,-4.707,0.0421,77.027,0.607,43,214960
27,Head > Heels - Live from Keira’s Living Room,Autumn Variations (Fan Living Room Sessions),2023-10-02,14,09RjA5mm3ElFtMXy0f1I25,spotify:track:09RjA5mm3ElFtMXy0f1I25,0.92,0.693,0.139,0.0,0.0928,-6.6,0.0414,80.305,0.354,43,232902
28,Magical,Autumn Variations,2023-09-29,1,20uknEOwx3PpiGL2Es2vCg,spotify:track:20uknEOwx3PpiGL2Es2vCg,0.748,0.658,0.632,7.33e-05,0.169,-8.492,0.0298,135.924,0.464,67,194277
29,England,Autumn Variations,2023-09-29,2,5eL45g9qvFvydEYcmv4zic,spotify:track:5eL45g9qvFvydEYcmv4zic,0.641,0.622,0.666,8.63e-05,0.513,-10.786,0.0423,126.934,0.52,52,226756
30,Amazing,Autumn Variations,2023-09-29,3,4fUMgL19kixzHhrttFZXsD,spotify:track:4fUMgL19kixzHhrttFZXsD,0.429,0.809,0.664,1.55e-06,0.131,-7.265,0.0373,116.996,0.374,54,245813
31,Plastic Bag,Autumn Variations,2023-09-29,4,1qvqgg3r67ayzIfuBMTJSV,spotify:track:1qvqgg3r67ayzIfuBMTJSV,0.621,0.713,0.727,0.0,0.0751,-6.551,0.0528,120.016,0.384,56,229850
32,Blue,Autumn Variations,2023-09-29,5,3SWLFqvadQmOMpEfrp4FMU,spotify:track:3SWLFqvadQmOMpEfrp4FMU,0.888,0.668,0.314,0.0,0.222,-8.275,0.0298,78.019,0.414,62,153899
33,American Town,Autumn Variations,2023-09-29,6,4rDvBpFgKbgJepZTaP0rD6,spotify:track:4rDvBpFgKbgJepZTaP0rD6,0.736,0.74,0.652,0.0,0.348,-5.668,0.0601,105.025,0.715,69,197976
34,That’s On Me,Autumn Variations,2023-09-29,7,6n8UfmEOGvDGxYRUrGf4z7,spotify:track:6n8UfmEOGvDGxYRUrGf4z7,0.634,0.822,0.696,0.0,0.0624,-6.275,0.114,106.995,0.575,53,227398
35,Page,Autumn Variations,2023-09-29,8,3LP0XwrMJ6ShNSrExi7jYs,spotify:track:3LP0XwrMJ6ShNSrExi7jYs,0.623,0.774,0.604,3.48e-06,0.0889,-6.385,0.0404,146.081,0.62,51,231021
36,Midnight,Autumn Variations,2023-09-29,9,2OTISEHIoZio1AKmKpV9BY,spotify:track:2OTISEHIoZio1AKmKpV9BY,0.425,0.555,0.824,7.78e-05,0.082,-5.843,0.0591,178.034,0.685,51,179538
37,Spring,Autumn Variations,2023-09-29,10,5xlCPBwakaVR2uwJG8Zph3,spotify:track:5xlCPBwakaVR2uwJG8Zph3,0.923,0.644,0.317,0.00159,0.104,-11.565,0.0317,96.081,0.667,51,178615
38,Punchline,Autumn Variations,2023-09-29,11,4gqRVDvnILW0cvBWZzKcRf,spotify:track:4gqRVDvnILW0cvBWZzKcRf,0.844,0.534,0.407,0.0,0.113,-7.994,0.0261,154.059,0.616,57,206008
39,When Will I Be Alright,Autumn Variations,2023-09-29,12,5S1CxlxcDGMf6c0WcEvF4K,spotify:track:5S1CxlxcDGMf6c0WcEvF4K,0.935,0.614,0.244,5.64e-05,0.112,-9.345,0.0301,126.381,0.488,51,175878
40,The Day I Was Born,Autumn Variations,2023-09-29,13,6No5bWFaZUgbIvoH9gOpvb,spotify:track:6No5bWFaZUgbIvoH9gOpvb,0.657,0.6,0.667,0.0,0.327,-5.504,0.0443,135.083,0.725,50,252318
